Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2510000,1.3445065,0.1268483,818.5,1.6106503270566463,1.6106503270566463,1.0
2520000,1.3445613,0.2696455,295.41379310344826,2.3821348268538713,2.3821348268538713,1.0
2530000,1.3446624,0.1183131,152.86666666666667,2.5990136725245976,2.5990136725245976,1.0
2540000,1.3445672,0.11666746,1411.7058823529412,-0.37335891714867425,-0.37335891714867425,1.0
2550000,1.3444165,0.06126259,102.71428571428571,2.943657536018041,2.943657536018041,1.0
2560000,1.3443205,0.073708564,512.8666666666667,1.6592069193255157,1.6592069193255157,1.0
2570000,1.3442117,0.07075597,265.93333333333334,2.1975135676252346,2.1975135676252346,1.0
2580000,1.3443868,0.2077748,566.5714285714286,1.721975184555049,1.721975184555049,1.0
2590000,1.3445586,0.18646275,767.8888888888889,1.1587447567187525,1.1587447567187525,1.0
2600000,1.3444213,0.25453418,196.33333333333334,2.4830670058106383,2.4830670058106383,1.0
2610000,1.3441253,0.17193209,361.26666666666665,2.0384003249602394,2.0384003249602394,1.0
2620000,1.3439834,0.2098873,492.75,1.906754467607243,1.906754467607243,1.0
2630000,1.3440113,0.2922694,674.6808510638298,1.3770210660829132,1.3770210660829132,1.0
2640000,1.3442175,0.25315672,148.83333333333334,2.668750273900514,2.668750273900514,1.0
2650000,1.3443444,0.15794861,372.7142857142857,2.2363289461604188,2.2363289461604188,1.0
2660000,1.3442885,0.14099956,499.42105263157896,1.849268626372673,1.849268626372673,1.0
2670000,1.3441176,0.24265076,360.9655172413793,1.9087669020091804,1.9087669020091804,1.0
2680000,1.343908,0.1365668,277.2105263157895,2.6074003238982923,2.6074003238982923,1.0
2690000,1.3437133,0.2331722,191.7058823529412,2.8310136863340936,2.8310136863340936,1.0
2700000,1.3435242,0.16530925,271.8,2.6538161986054067,2.6538161986054067,1.0
2710000,1.3434168,0.14620194,473.51851851851853,1.9416940054816223,1.9416940054816223,1.0
2720000,1.343523,0.21902242,313.1666666666667,2.3630753976409324,2.3630753976409324,1.0
2730000,1.3434033,0.14444081,330.82608695652175,2.169766897721544,2.169766897721544,1.0
2740000,1.3431771,0.12478547,521.9473684210526,1.7941845802492218,1.7941845802492218,1.0
2750000,1.3430603,0.08600865,899.4571428571429,0.6160734929765265,0.6160734929765265,1.0
2760000,1.3427113,0.2715055,244.33333333333334,2.3327037106694966,2.3327037106694966,1.0
2770000,1.3425621,0.18964615,248.6,2.329780886001471,2.329780886001471,1.0
2780000,1.342515,0.15217113,185.13333333333333,2.775279279605265,2.775279279605265,1.0
2790000,1.342493,0.1441047,309.65,2.3381169947485128,2.3381169947485128,1.0
2800000,1.342506,0.12290305,234.2,2.516190457122866,2.516190457122866,1.0
2810000,1.3425397,0.018452886,899.6,0.46566682485475513,0.46566682485475513,1.0
2820000,1.3425815,0.0904322,416.90909090909093,2.113391609662516,2.113391609662516,1.0
2830000,1.3426538,0.12124684,717.6666666666666,1.624933530886968,1.624933530886968,1.0
2840000,1.3428035,0.21641523,604.7391304347826,1.6155829468954597,1.6155829468954597,1.0
2850000,1.3429611,0.17670192,188.3793103448276,2.6091623833294606,2.6091623833294606,1.0
2860000,1.3429868,0.20640244,581.6,1.5421551317587727,1.5421551317587727,1.0
2870000,1.343006,0.19399086,245.66666666666666,2.606367001174173,2.606367001174173,1.0
2880000,1.3429312,0.1428169,490.5,2.471700389869511,2.471700389869511,1.0
2890000,1.342851,0.1286074,642.7948717948718,1.3179566832990623,1.3179566832990623,1.0
2900000,1.3427898,0.2806513,563.2105263157895,1.6766581882318286,1.6766581882318286,1.0
2910000,1.3427382,0.23183838,406.8181818181818,1.911272090246292,1.911272090246292,1.0
2920000,1.3427174,0.14953302,710.3333333333334,1.5206052284338512,1.5206052284338512,1.0
2930000,1.3426921,0.15625966,201.56,2.470126393982513,2.470126393982513,1.0
2940000,1.342667,0.18872651,245.8108108108108,2.5219841510154986,2.5219841510154986,1.0
2950000,1.3426534,0.3287213,450.7551020408163,1.9441003211109933,1.9441003211109933,1.0
2960000,1.3426173,0.3031098,119.93333333333334,2.634723674300282,2.634723674300282,1.0
2970000,1.3425815,0.10820781,196.6,2.482990412163781,2.482990412163781,1.0
2980000,1.3425721,0.104719914,267.4,2.2251352868741376,2.2251352868741376,1.0
2990000,1.3425539,0.1263398,281.8,2.410785381635651,2.410785381635651,1.0
3000000,1.3425444,0.0560026,220.33333333333334,2.667130339238793,2.667130339238793,1.0
